"numberOfEachTrial";"n";"effects";"propSignificant"
8;100;"sex*nStimuli*type";0.217
8;100;"sex*nStimuli";0.678
8;100;"sex*type";0.988
12;100;"sex*nStimuli*type";0.268
12;100;"sex*nStimuli";0.866
12;100;"sex*type";1
16;100;"sex*nStimuli*type";0.375
16;100;"sex*nStimuli";0.951
16;100;"sex*type";1
24;100;"sex*nStimuli*type";0.545
24;100;"sex*nStimuli";0.992
24;100;"sex*type";1
48;100;"sex*nStimuli*type";0.867
48;100;"sex*nStimuli";1
48;100;"sex*type";1
