"ID";"block";"nStimuli";"reactionTime";"typeOfAlternatives";"deg";"type";"modelNumber";"trialNumber";"overallHits";"STEM";"Experience";"sex";"outlier";"sexContrasts";"typeContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"ExperienceContrasts";"STEMContrasts1";"STEMContrasts2"
"id92";"main5";4;12672;"paired";135;"hit";"m13";0.727272727272727;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;12672;"paired";45;"hit";"m13";0.727272727272727;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main2";2;5883;"mixed";90;"hit";"m3";0.956521739130435;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;8034;"mixed";90;"hit";"m5";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;4618;"mixed";135;"incorrect";"m16";0.0434782608695652;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;4351;"mixed";45;"incorrect";"m6";0.0869565217391304;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;5567;"mixed";90;"hit";"m8";0.565217391304348;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;7948;"mixed";180;"incorrect";"m8";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main4";8;16623;"paired";45;"incorrect";"m5";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;20910;"paired";135;"hit";"m12";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;20910;"paired";135;"incorrect";"m12";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;20910;"paired";45;"hit";"m12";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;20910;"paired";45;"hit";"m12";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;24791;"paired";135;"hit";"m4";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;24791;"paired";45;"hit";"m4";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;24791;"paired";135;"hit";"m4";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;17613;"paired";135;"hit";"m14";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;24791;"paired";45;"hit";"m4";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main5";4;19735;"paired";45;"hit";"m15";0;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;10153;"paired";135;"hit";"m5";0.0909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;10153;"paired";45;"hit";"m5";0.0909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;9135;"paired";45;"incorrect";"m12";0.181818181818182;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;14984;"paired";135;"hit";"m3";0.272727272727273;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;14984;"paired";135;"hit";"m3";0.272727272727273;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;9135;"paired";135;"hit";"m12";0.181818181818182;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main6";8;10958;"mixed";135;"hit";"m4";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main1";2;2732;"paired";45;"hit";"m6";0.608695652173913;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;3050;"paired";45;"hit";"m14";0.652173913043478;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;6817;"paired";135;"hit";"m16";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main2";2;3189;"mixed";135;"hit";"m13";0.173913043478261;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;4065;"mixed";45;"hit";"m14";0.260869565217391;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;5450;"mixed";135;"hit";"m12";0.304347826086957;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main5";4;15888;"paired";135;"hit";"m7";0.909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;15888;"paired";45;"hit";"m7";0.909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;14762;"paired";135;"hit";"m6";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main4";8;16623;"paired";45;"hit";"m5";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;16623;"paired";135;"incorrect";"m5";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;33204;"paired";45;"hit";"m15";0;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;33204;"paired";135;"incorrect";"m15";0;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
